车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Cherokee,2549,274195
丰田 RAV4,ICE,SUV-D,38482, RAV4,1872,213568
吉普  Grand Cherokee (Jeep ),ICE,SUV-E,25309, Grand Cherokee,1689,188938
斯巴鲁 Forester,ICE,SUV-C,10669, Forester,1627,150463
丰田 Highlander,ICE,SUV-D,18761, Highlander,1169,136685
本田 Honda Pilot,ICE,SUV-D,10691, Pilot,1112,149199
斯巴鲁 Impreza,ICE,Car-C,2954, Impreza,1072,99587
福特 Explorer,ICE,SUV-D,12824, Explorer,748,78757
本田 CR-V,HV,SUV-D,31159, CR-V,547,67803
丰田 Sienna,HV,MPV,6418, Sienna,530,48754
起亚 Telluride,ICE,SUV-D,9534, Telluride,510,63668
福特 Bronco Sport,ICE,SUV-C,11152, Bronco,503,54326
吉普  Wrangler (Jeep ),ICE,SUV-C,12778, Wrangler,474,75519
福特 Bronco Sport,ICE,SUV-C,11152, Bronco Sport,449,42632
丰田 4Runner,ICE,SUV-D,9168, 4Runner,440,43160
雪佛兰 Traverse,ICE,SUV-D,10536, Traverse,364,42775
丰田 Tacoma,ICE,Pickup Truck,20153, Tacoma,359,56597
GMC Yukon,ICE,SUV-E,3845, Yukon,356,33677
Cadillac Escalade,ICE,SUV-E,4497, Escalade,352,33041
日产 Rogue,ICE,SUV-C,27096, Rogue,351,37944
斯巴鲁 Outback,ICE,SUV-D,16225, Outback,322,28839
大众 Tiguan,ICE,SUV-C,4683, Tiguan,310,30673
现代 Santa Fe,ICE,SUV-D,11276, Santa Fe,306,36472
现代 Palisade,ICE,SUV-D,5873, Palisade,296,34804
雪佛兰 Equinox,ICE,SUV-C,14604, Equinox,284,29170
现代 Tucson (ix35),ICE,SUV-C,17228, Tucson,281,33422
雪佛兰 Tahoe,ICE,SUV-E,9955, Tahoe,278,25198
起亚 Sorento (KX7),ICE,SUV-D,7607, Sorento,271,33507
斯巴鲁 XV,ICE,SUV-C,13788, XV,266,18650
马自达 CX-5,ICE,SUV-C,12861, CX-5,259,62489
GMC Terrain,ICE,SUV-C,6334, Terrain,258,26236
吉普  Renegade,ICE,SUV-B,1515, Renegade,234,20342
吉普  Compass (Jeep ),ICE,SUV-C,8615, Compass,224,25305
起亚 Sportage,ICE,SUV-C,13128, Sportage,208,27591
福特 Expedition,ICE,SUV-E,6970, Expedition,206,26119
起亚 Soul,ICE,Car-C,5202, Soul,183,17931
斯巴鲁 Ascent,ICE,SUV-D,5889, Ascent,176,16051
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Lincoln,172,22244
Lincoln Lincoln Navigator,ICE,SUV-E,1674, Lincoln Navigator,172,22244
本田 Odyssey,ICE,MPV,5239, Odyssey,171,25232
雪佛兰 C/K Suburban,ICE,SUV-E,5209, Suburban,166,14578
GMC Yukon XL,ICE,SUV-E,3045, Yukon XL,164,17136
日产 Pathfinder,ICE,SUV-D,5082, Pathfinder,158,11576
大众 Taos,ICE,SUV-C,4403, Taos,153,13707
GMC Acadia,ICE,SUV-D,6872, Acadia,147,19992
雪佛兰 Trailblazer,ICE,SUV-C,11579, Trailblazer,143,19757
Tesla Model Y,EV,SUV-D,36435, Model Y,134,23311
沃尔沃汽车  XC90 (Volvo Cars ),ICE,SUV-E,2776, XC90,130,17835
福特 Escape,ICE,SUV-C,12465, Escape,127,12460
沃尔沃汽车  XC60 (Volvo Cars ),ICE,SUV-D,3300, XC60,105,14502
起亚 Sedona (Carnival),ICE,MPV,4431, Sedona ,92,11096
起亚 NIRO,HV,SUV-C,2892, NIRO,87,10885
雪佛兰 Blazer,ICE,SUV-D,6290, Blazer,86,12004
现代 Kona,ICE,SUV-C,4791, Kona,83,11529
#N/A,#N/A,#N/A,#N/A, Journey,82,5891
马自达 CX-9,ICE,SUV-D,863, CX-9,80,10152
三菱 Outlander,ICE,SUV-D,3936, Outlander,75,7959
宝马 X3,ICE,SUV-D,5070, X3,72,9704
宝马 X5,ICE,SUV-E,6208, X5,70,8570
#N/A,#N/A,#N/A,#N/A, Audi Q7,69,10956
现代 Santa Cruz,ICE,Pickup Truck,3627, Santa Cruz,64,9430
日产 Kicks,ICE,SUV-C,5955, Kicks,61,7351
别克 Encore GX,ICE,SUV-C,6316, Encore,60,6861
#N/A,#N/A,#N/A,#N/A, Mazda 3,55,6594
本田 HR-V,ICE,SUV-C,9136, HR-V,55,7226
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318, Chevrolet Bolt,53,8745
本田 Passport,ICE,SUV-D,3710, Passport,52,6647
#N/A,#N/A,#N/A,#N/A, Cooper,49,6437
福特 Transit,ICE,van,10977, Transit,49,8717
福特 Transit Connect,ICE,van,1508, Transit Connect,49,8717
#N/A,#N/A,#N/A,#N/A, Countryman,48,6188
雷克萨斯 Lexus NX,ICE,SUV-D,5974, Lexus NX,44,6258
宝马 X1,ICE,SUV-C,1370, X1,42,4044
雪佛兰 Trax (Tracker),ICE,SUV-B,9719, Trax,39,5229
Tesla Model 3,EV,Car-D,19000, Model 3,36,5969
奥迪 Audi Q5,ICE,SUV-D,5695, Audi Q5,36,5953
马自达 CX-30,ICE,SUV-C,6612, CX-30,33,4038
#N/A,#N/A,#N/A,#N/A, Hummer,32,2269
奥迪 Audi Q3,ICE,SUV-C,1928, Audi Q3,27,3237
Cadillac Cadillac XT5,ICE,SUV-D,1985, Cadillac XT5,25,3017
日产 Armada,ICE,SUV-D,1798, Armada,24,2783
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318, Bolt EUV,22,3630
吉普  Wagoneer (Jeep ),ICE,SUV-E,3015, Wagoneer,22,3718
#N/A,#N/A,#N/A,#N/A, Grand Wagoneer,22,3718
丰田 Prius,HV,Car-C,1472, Prius,21,3358
现代 Venue,ICE,SUV-C,2695, Venue,21,2079
丰田 Camry,ICE,Car-D,27078, Camry,19,3629
路虎  Defender (Land Rover ),ICE,SUV-D,1996, Defender,18,2920
别克 Enclave,ICE,SUV-D,3547, Enclave,16,2224
福特 Edge,ICE,SUV-D,7483, Edge,15,1539
#N/A,#N/A,#N/A,#N/A, Golf,15,2509
别克 Encore GX,ICE,SUV-C,6316, Encore GX,15,2399
别克 Envision,ICE,SUV-C,4192, Envision,15,2399
吉普  Jeep Gladiator,ICE,Pickup Truck,5130, Gladiator,14,3290
#N/A,#N/A,#N/A,#N/A, LR4,14,2398
宝马 BMW X7,ICE,SUV-E,2561, BMW X7,14,1678
福特 Ford F-150,ICE,Pickup Truck,72355, F-150,13,2485
日产 Murano,ICE,SUV-D,2910, Murano,13,1357
日产 Frontier (Navara),ICE,Pickup Truck,5072, Frontier,12,2321
本田 Civic,ICE,Car-C,15979, Civic,11,1080
英菲尼迪 Infiniti QX80 (QX56),ICE,SUV-E,1019, Infiniti QX80,11,753
#N/A,#N/A,#N/A,#N/A, C-HR,10,1790
Cadillac Cadillac XT6,ICE,SUV-E,1867, Cadillac XT6,10,1443
雷克萨斯 Lexus UX,HV,SUV-C,1012, Lexus UX,10,1141
讴歌 Acura MDX,ICE,SUV-E,5048, Acura MDX,9,1277
英菲尼迪 Infiniti QX60 (JX),ICE,SUV-E,2719, QX60,9,963
#N/A,#N/A,#N/A,#N/A, F150,8,1406
丰田 Corolla,ICE,Car-C,18163, Corolla,8,1226
沃尔沃汽车  XC40 (Volvo Cars ),ICE,SUV-C,1643, XC40,8,1192
#N/A,#N/A,#N/A,#N/A, Discovery Sport,8,2280
雷克萨斯 Lexus RX,ICE,SUV-E,10274, Lexus RX,7,823
讴歌 Acura RDX,ICE,SUV-D,3502, Acura RDX,7,1793
马自达 CX-50,ICE,SUV-D,3532, CX-50,7,1049
大众 ID.4,EV,SUV-C,2836, ID.4,6,719
大众 VW Atlas,ICE,SUV-D,7863, Atlas,5,678
日产 Nissan Versa,ICE,Car-C,1402, Nissan Versa,5,999
宝马 3 Series,ICE,Car-D,2437, 3 Series,4,519
雪佛兰 Silverado,ICE,Pickup Truck,47698, Silverado,3,647
奥迪 Audi A4,ICE,Car-D,884, Audi A4,3,267
#N/A,#N/A,#N/A,#N/A, Caravan,3,224
路虎  Range Rover (Land Rover ),ICE,SUV-E,1432, Range Rover,3,267
#N/A,#N/A,#N/A,#N/A, Range Rover Evoque,3,267
起亚 Rio,ICE,Car-B,2180, Rio,2,448
宝马 BMW 5 Series,ICE,Car-E,1439, BMW 5 Series,1,179
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC,1,119
Tesla Model S,EV,Car-E,1700, Model S,1,207
福特 Ford Maverick,HV,Pickup Truck,7473, Maverick,1,295
#N/A,#N/A,#N/A,#N/A, Infiniti Q50,1,199
斯巴鲁 Legacy,ICE,Car-D,2347, Legacy,1,92
大众 Jetta,ICE,Car-C,4587, Jetta,1,119
现代 IONIQ 5,EV,SUV-D,3136, Ioniq,1,199
日产 Sentra,ICE,Car-C,12720, Sentra,1,119
梅赛德斯-奔驰  GLB,ICE,SUV-D,1191, GLB,1,111
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC-Class,1,119
奥迪 Audi A3,ICE,Car-C,1073, Audi A3,1,249
Cadillac Cadillac XT4,ICE,SUV-C,1857, Cadillac XT4,1,158
梅赛德斯-奔驰  GLS-Class (GL-Class),ICE,SUV-E,1842, GLS-Class,1,590
三菱 RVR (ASX/Outlander Sport),ICE,SUV-C,1756, RVR,1,99
#N/A,#N/A,#N/A,#N/A, Acura ILX,1,219
GMC GMC Sierra,ICE,Pickup Truck,25544, Sierra,0,0
#N/A,#N/A,#N/A,#N/A, F250,0,0
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE,0,0
本田 Accord,ICE,Car-D,17735, Accord,0,0
道奇  Charger (Dodge ),ICE,Car-D,8047, Charger,0,0
Ram  Ram 1500,ICE,Pickup Truck,39550, Ram 1500,0,0
Ram  Ram 1500,ICE,Pickup Truck,39550, RAM 1500,0,0
丰田 Tundra,ICE,Pickup Truck,10500, Tundra,0,0
#N/A,#N/A,#N/A,#N/A, CRV,0,0
克莱斯勒  Chrysler,柴油 ,Class 5,1823, CHR,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300,0,0
福特 Ford Ranger,ICE,Pickup Truck,4415, Ranger,0,0
#N/A,#N/A,#N/A,#N/A, Crosstrek,0,0
福特 Mustang,ICE,Car-D,2060, Mustang,0,0
日产 Altima,ICE,Car-D,8093, Altima,0,0
#N/A,#N/A,#N/A,#N/A, X6,0,0
道奇  Challenger (Dodge ),ICE,Car-D,4199, Challenger,0,0
#N/A,#N/A,#N/A,#N/A, X4,0,0
#N/A,#N/A,#N/A,#N/A, C Class,0,0
#N/A,#N/A,#N/A,#N/A, Sequoia,0,0
#N/A,#N/A,#N/A,#N/A, Avalon,0,0
雪佛兰 Camaro,ICE,Car-D,3207, Camaro,0,0
道奇  Durango (Dodge ),ICE,SUV-E,5793, Durango,0,0
#N/A,#N/A,#N/A,#N/A, F-250,0,0
雪佛兰 Corvette,ICE,Car-F,3136, Corvette,0,0
现代 Sonata,ICE,Car-D,3834, Sonata,0,0
雪佛兰 Chevrolet Colorado,ICE,Pickup Truck,10664, Colorado,0,0
#N/A,#N/A,#N/A,#N/A, Leaf,0,0
#N/A,#N/A,#N/A,#N/A, E150,0,0
Tesla Model X,EV,SUV-E,2500, Model X,0,0
本田 Ridgeline,ICE,Pickup Truck,4678, Ridgeline,0,0
#N/A,#N/A,#N/A,#N/A, RX350,0,0
GMC Canyon,ICE,Pickup Truck,3496, Canyon,0,0
#N/A,#N/A,#N/A,#N/A, Flex,0,0
#N/A,#N/A,#N/A,#N/A, Optima,0,0
斯巴鲁 WRX,ICE,Car-C,2326, WRX,0,0
#N/A,#N/A,#N/A,#N/A, G35,0,0
#N/A,#N/A,#N/A,#N/A, G25,0,0
#N/A,#N/A,#N/A,#N/A, 325i,0,0
#N/A,#N/A,#N/A,#N/A, Beetle,0,0
#N/A,#N/A,#N/A,#N/A, Carnival,0,0
日产 Nissan Titan,ICE,Pickup Truck,2455, Titan,0,0
日产 Maxima,ICE,Car-E,1547, Maxima,0,0
丰田 Corolla Cross,ICE,SUV-C,5373, Corolla Cross,0,0
#N/A,#N/A,#N/A,#N/A, IS350,0,0
#N/A,#N/A,#N/A,#N/A, IS250,0,0
#N/A,#N/A,#N/A,#N/A, BRZ,0,0
梅赛德斯-奔驰  C-Class,ICE,Car-D,2845, C-Class,0,0
#N/A,#N/A,#N/A,#N/A, Xterra,0,0
#N/A,#N/A,#N/A,#N/A, HRV,0,0
讴歌 Acura TLX,ICE,Car-D,2013, Acura TL,0,0
Rivian R1T,EV,Pickup Truck,3436, R1T,0,0
#N/A,#N/A,#N/A,#N/A, R1S,0,0
宝马 4 Series,ICE,Car-D,2136, 4 Series,0,0
克莱斯勒  Pacifica (Chrysler ),ICE,MPV,16953, Pacifica,0,0
#N/A,#N/A,#N/A,#N/A, IS300,0,0
#N/A,#N/A,#N/A,#N/A, Cruiser,0,0
起亚 Kia Forte,ICE,Car-C,10330, Kia Forte,0,0
#N/A,#N/A,#N/A,#N/A, Insight,0,0
起亚 K5,ICE,Car-D,6072, K5,0,0
丰田 Venza,HV,SUV-D,2384, Venza,0,0
雪佛兰 Malibu,ICE,Car-D,14020, Malibu,0,0
#N/A,#N/A,#N/A,#N/A, Elantra,0,0
