车型信息,动力,车种,6月车型销量,车型,垫类总额月销量,垫类总额月销售额,后备箱垫+椅背垫月销量,后备箱垫+椅背垫月销售额,后备箱垫+脚垫月销量,后备箱垫+脚垫月销售额,后备箱垫+椅背垫+脚垫月销量,后备箱垫+椅背垫+脚垫月销售额,后备箱垫单品月销量,后备箱垫单品月销售额,脚垫单品月销量,脚垫单品月销售额,椅背垫单品月销量,椅背垫单品月销售额
未知品牌车型,未知动力,未知车种,未知销量, Insight,120,15071,0,0,0,0,0,0,0,0,119,14873,0,0
宝马 4 Series,ICE,Car-D,2136, 4 Series,295,14624,0,0,0,0,0,0,0,0,295,14624,0,0
未知品牌车型,未知动力,未知车种,未知销量, Patriot,136,14596,0,0,16,2394,0,0,36,2572,84,9630,0,0
斯巴鲁 WRX,ICE,Car-C,2326, WRX,124,14194,0,0,11,800,0,0,11,741,102,12653,0,0
沃尔沃汽车  XC90 (Volvo Cars ),ICE,SUV-E,2776, XC90,163,13161,0,0,7,826,0,0,122,8155,33,3901,0,0
奥迪 Audi Q8,ICE,SUV-E,1282, Audi Q8,103,12961,0,0,10,1748,0,0,17,1343,76,9870,0,0
未知品牌车型,未知动力,未知车种,未知销量, Flex,226,12912,0,0,0,0,0,0,136,918,90,11994,0,0
雷克萨斯 Lexus ES,ICE,Car-E,3611, Lexus ES,129,12855,0,0,0,0,0,0,31,1858,98,10997,0,0
丰田 Venza,HV,SUV-D,2384, Venza,120,12639,6,479,31,3184,0,0,24,2253,59,6723,0,0
未知品牌车型,未知动力,未知车种,未知销量, Countryman,215,12516,0,0,24,1146,0,0,8,528,183,10842,0,0
梅赛德斯-奔驰  GLB,ICE,SUV-D,1191, GLB,138,12451,0,0,5,682,0,0,43,2571,90,9198,0,0
Cadillac Cadillac XT4,ICE,SUV-C,1857, Cadillac XT4,92,11903,6,419,10,1154,0,0,8,479,67,9653,0,0
未知品牌车型,未知动力,未知车种,未知销量, Cruiser,118,11805,0,0,26,1819,0,0,50,5527,37,3890,0,0
现代 IONIQ 5,EV,SUV-D,3136, IONIQ 5,109,11536,51,4589,7,1678,0,0,1,89,50,5180,0,0
讴歌 Acura TLX,ICE,Car-D,2013, Acura TL,82,11289,0,0,0,0,0,0,5,619,75,10273,0,0
别克 Encore GX,ICE,SUV-C,6316, Encore GX,110,11288,0,0,8,1488,0,0,28,1648,74,8152,0,0
未知品牌车型,未知动力,未知车种,未知销量, G35,232,10941,0,0,0,0,0,0,0,0,232,10941,0,0
未知品牌车型,未知动力,未知车种,未知销量, Journey,111,10884,0,0,16,1218,0,0,0,0,95,9666,0,0
福特 Ford E-Series,ICE,van,2820, E-Series,77,10799,0,0,0,0,0,0,0,0,77,10799,0,0
未知品牌车型,未知动力,未知车种,未知销量, RAV-4,183,10714,0,0,0,0,0,0,183,10714,0,0,0,0
讴歌 Acura TLX,ICE,Car-D,2013, Acura TLX,75,10703,0,0,0,0,0,0,5,619,68,9687,0,0
未知品牌车型,未知动力,未知车种,未知销量, Infiniti Q50,84,10611,0,0,3,269,0,0,0,0,79,10104,0,0
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Nautilus,81,9980,0,0,3,658,0,0,15,1975,63,7347,0,0
未知品牌车型,未知动力,未知车种,未知销量, Econoline,71,9960,0,0,0,0,0,0,0,0,71,9960,0,0
梅赛德斯-奔驰  E-Class,ICE,Car-E,1210, E-Class,114,9949,0,0,0,0,0,0,5,714,109,9235,0,0
日产 Maxima,ICE,Car-E,1547, Maxima,89,9719,0,0,0,0,0,0,0,0,89,9719,0,0
未知品牌车型,未知动力,未知车种,未知销量, Stinger,88,9639,0,0,0,0,0,0,42,2747,43,6296,0,0
未知品牌车型,未知动力,未知车种,未知销量, G25,219,9477,0,0,0,0,0,0,0,0,219,9477,0,0
马自达 MX-5 (Miata),ICE,Car-C,866, MX-5,90,9275,0,0,0,0,0,0,7,909,83,8366,0,0
未知品牌车型,未知动力,未知车种,未知销量, Impala,85,9107,0,0,0,0,0,0,5,599,80,8508,0,0
未知品牌车型,未知动力,未知车种,未知销量, Impala,85,9107,0,0,0,0,0,0,5,599,80,8508,0,0
Lincoln Aviator,ICE,SUV-E,237, Aviator,93,8785,0,0,18,1241,0,0,38,3128,35,3857,0,0
Lincoln Lincoln MKC/Corsair,ICE,SUV-C,2587, MKC,89,8708,0,0,18,921,0,0,2,119,69,7668,0,0
未知品牌车型,未知动力,未知车种,未知销量, Hummer,53,8644,0,0,0,0,0,0,0,0,53,8644,0,0
未知品牌车型,未知动力,未知车种,未知销量, EQB,167,8407,0,0,131,6416,0,0,0,0,36,1991,0,0
未知品牌车型,未知动力,未知车种,未知销量, Infiniti QX50,94,8226,0,0,13,2159,0,0,63,3684,16,2145,0,0
梅赛德斯-奔驰  C-Class,ICE,Car-D,2845, C-Class,198,16544,0,0,0,0,0,0,28,1680,170,14864,0,0
未知品牌车型,未知动力,未知车种,未知销量, Matrix,202,7500,0,0,0,0,0,0,152,1062,50,6438,0,0
现代 Venue,ICE,SUV-C,2695, Venue,80,7443,0,0,0,0,0,0,22,1517,58,5926,0,0
丰田 Crown,HV,Car-E,1177, Crown,132,7354,0,0,0,0,0,0,2,179,130,7175,0,0
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE-Class,74,7176,0,0,13,1287,0,0,36,2658,25,3231,0,0
奥迪 Audi Q3,ICE,SUV-C,1928, Audi Q3,97,7171,0,0,31,2482,0,0,2,109,64,4580,0,0
未知品牌车型,未知动力,未知车种,未知销量, Mazda 6,92,7169,0,0,2,179,0,0,9,584,81,6406,0,0
未知品牌车型,未知动力,未知车种,未知销量, Land Cruiser,73,7081,0,0,26,1819,0,0,27,3239,20,2023,0,0
未知品牌车型,未知动力,未知车种,未知销量, Cadillac CT4,58,7052,0,0,0,0,0,0,0,0,58,7052,0,0
未知品牌车型,未知动力,未知车种,未知销量, Taurus,57,7014,0,0,0,0,0,0,3,359,53,6527,0,0
未知品牌车型,未知动力,未知车种,未知销量, Taurus,57,7014,0,0,0,0,0,0,3,359,53,6527,0,0
未知品牌车型,未知动力,未知车种,未知销量, Taurus,57,7014,0,0,0,0,0,0,3,359,53,6527,0,0
Genesis Genesis GV80,ICE,SUV-E,1506, Genesis GV80,65,6900,0,0,0,0,0,0,17,1529,48,5371,0,0
未知品牌车型,未知动力,未知车种,未知销量, C-HR,92,6473,0,0,2,119,0,0,0,0,90,6354,0,0
未知品牌车型,未知动力,未知车种,未知销量, Range Rover Velar,50,6320,0,0,5,448,0,0,0,0,41,5077,0,0
大众 Taos,ICE,SUV-C,4403, Taos,43,6314,0,0,3,570,0,0,1,89,39,5655,0,0
宝马 BMW 5 Series,ICE,Car-E,1439, BMW 5 Series,87,6130,0,0,5,844,0,0,23,1378,59,3908,0,0
未知品牌车型,未知动力,未知车种,未知销量, 5-Series,73,6075,0,0,7,419,0,0,4,399,62,5257,0,0
未知品牌车型,未知动力,未知车种,未知销量, IS350,78,5976,0,0,0,0,0,0,0,0,78,5976,0,0
未知品牌车型,未知动力,未知车种,未知销量, IS250,78,5976,0,0,0,0,0,0,0,0,78,5976,0,0
起亚 Rio,ICE,Car-B,2180, Rio,66,5686,0,0,0,0,0,0,10,832,53,4258,0,0
未知品牌车型,未知动力,未知车种,未知销量, 3-Series,82,5678,0,0,0,0,0,0,7,421,75,5257,0,0
梅赛德斯-奔驰  GLS-Class (GL-Class),ICE,SUV-E,1842, GLS-Class,70,5625,0,0,1,274,0,0,0,0,69,5351,0,0
未知品牌车型,未知动力,未知车种,未知销量, Spark,55,5302,0,0,0,0,0,0,0,0,55,5302,0,0
未知品牌车型,未知动力,未知车种,未知销量, Discovery Sport,42,5268,0,0,0,0,0,0,11,1024,31,4244,0,0
未知品牌车型,未知动力,未知车种,未知销量, Chevy Bolt,47,5264,19,1519,17,2098,0,0,0,0,11,1647,0,0
沃尔沃汽车  XC40 (Volvo Cars ),ICE,SUV-C,1643, XC40,74,5192,0,0,0,0,0,0,54,2781,19,2213,0,0
未知品牌车型,未知动力,未知车种,未知销量, Supra,46,5091,0,0,17,1374,0,0,3,260,1,35,0,0
未知品牌车型,未知动力,未知车种,未知销量, IONIQ 6,50,5050,0,0,0,0,0,0,11,725,39,4325,0,0
未知品牌车型,未知动力,未知车种,未知销量, Stelvio,61,4913,0,0,0,0,0,0,11,845,50,4068,0,0
梅赛德斯-奔驰  GLA-Class,ICE,SUV-C,1673, GLA-Class,77,4783,0,0,0,0,0,0,14,987,63,3796,0,0
未知品牌车型,未知动力,未知车种,未知销量, Veloster,40,4704,0,0,0,0,0,0,0,0,40,4704,0,0
未知品牌车型,未知动力,未知车种,未知销量, VNL,40,4667,0,0,18,1652,0,0,0,0,22,3015,0,0
未知品牌车型,未知动力,未知车种,未知销量, Range Rover Evoque,37,4657,0,0,2,298,0,0,0,0,35,4359,0,0
雷克萨斯 Lexus GX,ICE,SUV-E,2545, Lexus GX,47,4558,0,0,26,1819,0,0,1,152,20,2587,0,0
未知品牌车型,未知动力,未知车种,未知销量, SRX,63,4530,0,0,0,0,0,0,0,0,63,4530,0,0
未知品牌车型,未知动力,未知车种,未知销量, F-Pace,81,4441,0,0,57,2955,0,0,14,839,9,449,0,0
Porsche  Porsche 911,ICE,Car-F,1191, Porsche 911,34,4337,0,0,0,0,0,0,0,0,33,4139,0,0
未知品牌车型,未知动力,未知车种,未知销量, Avalon,183,4316,0,0,0,0,0,0,157,1310,26,3006,0,0
未知品牌车型,未知动力,未知车种,未知销量, IS300,55,3693,0,0,0,0,0,0,0,0,55,3693,0,0
宝马 BMW i4,EV,Car-E,2131, BMW i4,29,3490,0,0,0,0,0,0,17,1104,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, A-Class,59,3368,0,0,0,0,0,0,0,0,59,3368,0,0
Polestar Polestar 2,EV,Car-D,1117, Polestar 2,35,3286,0,0,0,0,0,0,3,179,27,2113,0,0
Cadillac Cadillac XT6,ICE,SUV-E,1867, Cadillac XT6,20,3261,0,0,0,0,0,0,0,0,20,3261,0,0
未知品牌车型,未知动力,未知车种,未知销量, RZR,25,3237,0,0,0,0,0,0,0,0,25,3237,0,0
未知品牌车型,未知动力,未知车种,未知销量, F-Type,65,3192,0,0,53,2596,0,0,0,0,12,596,0,0
梅赛德斯-奔驰  S-Class,ICE,Car-F,1044, S-Class,58,3190,0,0,0,0,0,0,0,0,58,3190,0,0
未知品牌车型,未知动力,未知车种,未知销量, XF,62,3045,0,0,53,2596,0,0,0,0,9,449,0,0
未知品牌车型,未知动力,未知车种,未知销量, E-Pace,62,3045,0,0,53,2596,0,0,0,0,9,449,0,0
未知品牌车型,未知动力,未知车种,未知销量, I-Pace,62,3045,0,0,53,2596,0,0,0,0,9,449,0,0
奥迪 Audi A4,ICE,Car-D,884, Audi A4,51,3039,0,0,8,453,0,0,0,0,43,2586,0,0
未知品牌车型,未知动力,未知车种,未知销量, EcoSport,22,2964,0,0,3,398,0,0,0,0,19,2566,0,0
未知品牌车型,未知动力,未知车种,未知销量, Beetle,45,2880,0,0,0,0,0,0,0,0,45,2880,0,0
未知品牌车型,未知动力,未知车种,未知销量, 325i,35,2799,0,0,0,0,0,0,0,0,34,2733,0,0
未知品牌车型,未知动力,未知车种,未知销量, Liberty,41,2795,0,0,0,0,0,0,4,546,37,2249,0,0
起亚 Sedona (Carnival),ICE,MPV,4431, Sedona ,13,2735,0,0,0,0,0,0,0,0,13,2735,0,0
未知品牌车型,未知动力,未知车种,未知销量, C40 Recharge,39,2573,0,0,0,0,0,0,39,2573,0,0,0,0
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015, EQS SUV,34,2487,0,0,0,0,0,0,31,1806,3,681,0,0
日产 Nissan Versa,ICE,Car-C,1402, Nissan Versa,19,2469,0,0,0,0,0,0,0,0,19,2469,0,0
未知品牌车型,未知动力,未知车种,未知销量, TSX,33,2427,0,0,0,0,0,0,0,0,33,2427,0,0
未知品牌车型,未知动力,未知车种,未知销量, Ariya,16,2334,0,0,0,0,0,0,0,0,16,2334,0,0
未知品牌车型,未知动力,未知车种,未知销量, S60,35,2319,0,0,0,0,0,0,15,208,20,2111,0,0
未知品牌车型,未知动力,未知车种,未知销量, Scion,42,2230,0,0,0,0,0,0,0,0,42,2230,0,0
未知品牌车型,未知动力,未知车种,未知销量, 2 Series,19,2188,0,0,0,0,0,0,0,0,19,2188,0,0
未知品牌车型,未知动力,未知车种,未知销量, Fiat 500,26,2159,0,0,0,0,0,0,1,64,25,2095,0,0
未知品牌车型,未知动力,未知车种,未知销量, V60,33,2150,0,0,0,0,0,0,15,208,18,1942,0,0
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC-Class,13,2019,0,0,0,0,0,0,4,239,9,1780,0,0
雷克萨斯 Lexus UX,HV,SUV-C,1012, Lexus UX,18,1986,0,0,0,0,0,0,3,266,15,1720,0,0
未知品牌车型,未知动力,未知车种,未知销量, Xterra,20,1927,0,0,0,0,0,0,19,1835,1,92,0,0
未知品牌车型,未知动力,未知车种,未知销量, Panamera,11,1858,0,0,0,0,0,0,0,0,11,1858,0,0
未知品牌车型,未知动力,未知车种,未知销量, EQE,34,1831,0,0,0,0,0,0,1,115,33,1716,0,0
未知品牌车型,未知动力,未知车种,未知销量, AMG-GT,33,1716,0,0,0,0,0,0,0,0,33,1716,0,0
未知品牌车型,未知动力,未知车种,未知销量,86,19,1594,0,0,10,750,0,0,0,0,9,844,0,0
奥迪 Audi A3,ICE,Car-C,1073, Audi A3,20,1586,0,0,0,0,0,0,0,0,18,1189,0,0
未知品牌车型,未知动力,未知车种,未知销量, Cobalt,11,1539,0,0,0,0,0,0,0,0,11,1539,0,0
未知品牌车型,未知动力,未知车种,未知销量, Cobalt,11,1539,0,0,0,0,0,0,0,0,11,1539,0,0
未知品牌车型,未知动力,未知车种,未知销量, Lucid Air,18,1439,0,0,0,0,0,0,0,0,18,1439,0,0
未知品牌车型,未知动力,未知车种,未知销量, Jimny,13,1434,0,0,0,0,0,0,1,64,12,1370,0,0
未知品牌车型,未知动力,未知车种,未知销量, Accent,11,1344,0,0,0,0,0,0,0,0,11,1344,0,0
未知品牌车型,未知动力,未知车种,未知销量, Audi A6,8,1271,0,0,0,0,0,0,0,0,8,1271,0,0
现代 Avante (Elantra),ICE,Car-C,13424, Avante ,12,1087,0,0,0,0,0,0,0,0,12,1087,0,0
现代 Avante (Elantra),ICE,Car-C,13424, Avante,12,1087,0,0,0,0,0,0,0,0,12,1087,0,0
奥迪 Audi A5,ICE,Car-D,2283, Audi A5,12,1020,0,0,0,0,0,0,6,359,6,661,0,0
Genesis Genesis G70,ICE,Car-D,1353, Genesis G70,6,983,0,0,0,0,0,0,0,0,3,387,0,0
未知品牌车型,未知动力,未知车种,未知销量, LR4,11,879,0,0,3,235,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, BRZ,6,736,0,0,0,0,0,0,1,72,5,664,0,0
未知品牌车型,未知动力,未知车种,未知销量, Leaf,11,714,0,0,0,0,0,0,11,714,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, CLA-Class,5,655,0,0,0,0,0,0,0,0,5,655,0,0
未知品牌车型,未知动力,未知车种,未知销量, Solterra,4,611,0,0,4,611,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Infiniti QX55,5,598,0,0,0,0,0,0,0,0,5,598,0,0
未知品牌车型,未知动力,未知车种,未知销量, Taycan,9,587,0,0,0,0,0,0,8,498,1,89,0,0
未知品牌车型,未知动力,未知车种,未知销量, Acura ILX,3,556,0,0,0,0,0,0,0,0,3,556,0,0
梅赛德斯-奔驰  G-Class,ICE,SUV-E,1019, G-Class,6,479,0,0,0,0,0,0,6,479,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Fiesta,5,416,0,0,0,0,0,0,0,0,5,416,0,0
未知品牌车型,未知动力,未知车种,未知销量, S90,16,337,0,0,0,0,0,0,15,208,1,129,0,0
未知品牌车型,未知动力,未知车种,未知销量, C30,16,337,0,0,0,0,0,0,15,208,1,129,0,0
未知品牌车型,未知动力,未知车种,未知销量, Lancer,7,321,0,0,0,0,0,0,0,0,7,321,0,0
未知品牌车型,未知动力,未知车种,未知销量, VHD,1,291,0,0,0,0,0,0,0,0,1,291,0,0
未知品牌车型,未知动力,未知车种,未知销量, Yaris,8,282,0,0,7,228,0,0,0,0,1,54,0,0
未知品牌车型,未知动力,未知车种,未知销量, CLS-Class,2,268,0,0,0,0,0,0,0,0,2,268,0,0
未知品牌车型,未知动力,未知车种,未知销量, Eclipse Cross,3,248,0,0,0,0,0,0,0,0,3,248,0,0
未知品牌车型,未知动力,未知车种,未知销量, V90,15,208,0,0,0,0,0,0,15,208,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Genesis GV60,2,177,0,0,0,0,0,0,0,0,2,177,0,0
未知品牌车型,未知动力,未知车种,未知销量, Audi Q4 e-tron,1,141,0,0,0,0,0,0,0,0,1,141,0,0
未知品牌车型,未知动力,未知车种,未知销量, BMW 7 Series,2,138,0,0,0,0,0,0,1,79,1,59,0,0
未知品牌车型,未知动力,未知车种,未知销量, Chrysler 200,1,137,0,0,0,0,0,0,0,0,1,137,0,0
丰田 Corolla iM,ICE,Car-C,1493, Corolla iM,1,133,0,0,0,0,0,0,0,0,1,133,0,0
未知品牌车型,未知动力,未知车种,未知销量, Audi A7,2,120,0,0,0,0,0,0,2,120,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Audi A8,1,119,0,0,0,0,0,0,0,0,1,119,0,0
未知品牌车型,未知动力,未知车种,未知销量, NSX,2,100,0,0,0,0,0,0,0,0,2,100,0,0
雪佛兰 Chevrolet Express,ICE,van,3290, Chevrolet Express,1,99,0,0,0,0,0,0,0,0,1,99,0,0
未知品牌车型,未知动力,未知车种,未知销量, Element,1,79,0,0,0,0,0,0,0,0,1,79,0,0
未知品牌车型,未知动力,未知车种,未知销量, Infiniti Q60,1,79,0,0,0,0,0,0,0,0,1,79,0,0
未知品牌车型,未知动力,未知车种,未知销量, Juke,1,45,0,0,0,0,0,0,0,0,1,45,0,0
未知品牌车型,未知动力,未知车种,未知销量, Audi e-tron,1,45,0,0,0,0,0,0,0,0,1,45,0,0
未知品牌车型,未知动力,未知车种,未知销量, GT-R,1,45,0,0,0,0,0,0,0,0,1,45,0,0
三菱 RVR (ASX/Outlander Sport),ICE,SUV-C,1756, RVR,1,31,0,0,1,31,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, E150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Lexus RC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Cadillac Lyriq,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Mirage,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMC Savana,ICE,van,2560, Savana,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Nitro,0,0,0,0,0,0,0,0,0,0,0,0,0,0
马自达 Axela (Mazda 3),ICE,Car-C,2745, Axela,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Ford GT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Ford F-Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0
起亚 SELTOS,ICE,SUV-C,5652, SELTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雷克萨斯 Lexus IS,ICE,Car-D,1827, Lexus IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadillac Cadillac CT5,ICE,Car-E,1784, Cadillac CT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300 series,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Dodge Hornet,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, EQE SUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Genesis G80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Audi Q8 e-tron,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Rivian EDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, bZ4X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Lexus LX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, MIRAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, BMW 8 Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Boxster/Cayman,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, MINI Convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Grecale,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, VF8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Audi e-tron GT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, SL-Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Alfa Romeo GIULIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Lexus RZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, MINI Clubman,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Arteon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, BMW XM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, BMW i7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Lexus LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Nissan Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Lexus LC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Genesis EQ900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
丰田 Grand Highlander,HV,SUV-D,159, Grand Highlander,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Tonale,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Audi TT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Class 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, 500X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Audi R8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Hummer Pickup,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, SF90 Stradale,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, SF90 Spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, MX-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Nexo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Ferrari 296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Zevo 600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Polestar 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Lexus GS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Ram Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Chrysler 200 Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Alfa Romeo 4C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, GS-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Fiat 500L,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Clarity Electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Clarity Fuel Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Clarity Plug In,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Acura RLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Revero,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, TRX400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, TRX450,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, C10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, 2002-2009 Dodge Ram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, 2009-2018 Dodge Ram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, 1994-2001 Dodge Ram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Caprice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Sebring,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未知品牌车型,未知动力,未知车种,未知销量, Avenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0
